2018/05/08,['평균기온:17'],[]
2018/05/09,['평균기온:15'],[]
2018/05/10,['평균기온:15'],[]
2018/05/11,['평균기온:16'],[]
2018/05/12,['평균기온:14'],['일강수량:32.0']
2018/05/13,['평균기온:15'],['일강수량:0.5']
2018/05/14,['평균기온:18'],[]
2018/05/15,['평균기온:23'],['일강수량:0.0']
2018/05/16,['평균기온:22'],['일강수량:45.0']
2018/05/17,['평균기온:20'],['일강수량:83.0']
2018/05/18,['평균기온:16'],['일강수량:6.5']
2018/05/19,['평균기온:17'],[]
2018/05/20,['평균기온:17'],[]
2018/05/21,['평균기온:17'],[]
2018/05/22,['평균기온:18'],['일강수량:12.5']
2018/05/23,['평균기온:17'],['일강수량:6.5']
2018/05/24,['평균기온:18'],[]
2018/05/25,['평균기온:19'],[]
2018/05/26,['평균기온:21'],[]
2018/05/27,['평균기온:20'],[]
2018/05/28,['평균기온:22'],[]
2018/05/29,['평균기온:21'],['일강수량:1.0']
2018/05/30,['평균기온:20'],['일강수량:0.0']
2018/05/31,['평균기온:20'],[]
2018/06/01,['평균기온:23'],[]
2018/06/02,['평균기온:23'],[]
2018/06/03,['평균기온:24'],[]
2018/06/04,['평균기온:22'],[]
2018/06/05,['평균기온:23'],[]
2018/06/06,['평균기온:23'],[]
2018/06/07,['평균기온:22'],[]
2018/06/08,['평균기온:21'],[]
2018/06/09,['평균기온:23'],['일강수량:0.5']
2018/06/10,['평균기온:21'],['일강수량:0.5']
2018/06/11,['평균기온:20'],['일강수량:5.0']
2018/06/12,['평균기온:21'],['일강수량:0.0']
2018/06/13,['평균기온:22'],['일강수량:0.0']
2018/06/14,['평균기온:21'],['일강수량:29.0']
2018/06/15,['평균기온:21'],['일강수량:16.5']
2018/06/16,['평균기온:22'],[]
2018/06/17,['평균기온:22'],[]
2018/06/18,['평균기온:24'],[]
2018/06/19,['평균기온:22'],[]
2018/06/20,['평균기온:22'],[]
2018/06/21,['평균기온:23'],[]
2018/06/22,['평균기온:25'],[]
2018/06/23,['평균기온:24'],[]
2018/06/24,['평균기온:25'],[]
2018/06/25,['평균기온:27'],[]
2018/06/26,['평균기온:22'],['일강수량:71.5']
2018/06/27,['평균기온:22'],['일강수량:1.0']
2018/06/28,['평균기온:23'],['일강수량:26.5']
2018/06/29,['평균기온:24'],['일강수량:6.5']
2018/06/30,['평균기온:24'],['일강수량:14.5']
2018/07/01,['평균기온:21'],['일강수량:83.5']
2018/07/02,['평균기온:22'],['일강수량:59.5']
2018/07/03,['평균기온:27'],['일강수량:0.1']
2018/07/04,['평균기온:27'],[]
2018/07/05,['평균기온:25'],['일강수량:0.5']
2018/07/06,['평균기온:23'],[]
2018/07/07,['평균기온:23'],[]
2018/07/08,['평균기온:23'],[]
2018/07/09,['평균기온:20'],['일강수량:14.0']
2018/07/10,['평균기온:23'],['일강수량:16.5']
2018/07/11,['평균기온:26'],['일강수량:3.0']
2018/07/12,['평균기온:26'],['일강수량:1.0']
2018/07/13,['평균기온:27'],[]
2018/07/14,['평균기온:27'],['일강수량:0.0']
2018/07/15,['평균기온:28'],[]
2018/07/16,['평균기온:28'],[]
2018/07/17,['평균기온:28'],[]
2018/07/18,['평균기온:28'],[]
2018/07/19,['평균기온:28'],[]
2018/07/20,['평균기온:29'],[]
2018/07/21,['평균기온:30'],[]
2018/07/22,['평균기온:31'],[]
2018/07/23,['평균기온:31'],[]
2018/07/24,['평균기온:31'],[]
2018/07/25,['평균기온:30'],[]
2018/07/26,['평균기온:30'],[]
2018/07/27,['평균기온:30'],[]
2018/07/28,['평균기온:29'],['일강수량:7.5']
2018/07/29,['평균기온:31'],[]
2018/07/30,['평균기온:31'],[]
2018/07/31,['평균기온:32'],[]
2018/08/01,['평균기온:33'],[]
2018/08/02,['평균기온:33'],[]
2018/08/03,['평균기온:33'],[]
2018/08/04,['평균기온:31'],[]
2018/08/05,['평균기온:30'],['일강수량:2.0']
2018/08/06,['평균기온:30'],['일강수량:6.5']
2018/08/07,['평균기온:30'],[]
2018/08/08,['평균기온:31'],[]
2018/08/09,['평균기온:28'],['일강수량:2.0']
2018/08/10,['평균기온:30'],[]
2018/08/11,['평균기온:31'],[]
2018/08/12,['평균기온:30'],['일강수량:5.0']
2018/08/13,['평균기온:30'],['일강수량:1.0']
2018/08/14,['평균기온:31'],[]
2018/08/15,['평균기온:31'],['일강수량:1.0']
2018/08/16,['평균기온:29'],[]
2018/08/17,['평균기온:27'],[]
2018/08/18,['평균기온:26'],[]
2018/08/19,['평균기온:28'],[]
2018/08/20,['평균기온:29'],['일강수량:0.0']
2018/08/21,['평균기온:26'],['일강수량:5.0']
2018/08/22,['평균기온:30'],[]
2018/08/23,['평균기온:29'],['일강수량:3.0']
2018/08/24,['평균기온:24'],['일강수량:7.5']
2018/08/25,['평균기온:25'],[]
2018/08/26,['평균기온:23'],['일강수량:2.0']
2018/08/27,['평균기온:22'],['일강수량:19.5']
2018/08/28,['평균기온:23'],['일강수량:96.5']
2018/08/29,['평균기온:25'],['일강수량:42.0']
2018/08/30,['평균기온:25'],['일강수량:9.5']
2018/08/31,['평균기온:25'],['일강수량:0.1']
2018/09/01,['평균기온:25'],[]
2018/09/02,['평균기온:25'],[]
2018/09/03,['평균기온:23'],['일강수량:34.5']
2018/09/04,['평균기온:23'],[]
2018/09/05,['평균기온:24'],[]
2018/09/06,['평균기온:24'],['일강수량:1.0']
2018/09/07,['평균기온:22'],['일강수량:0.5']
2018/09/08,['평균기온:21'],[]
2018/09/09,['평균기온:22'],[]
2018/09/10,['평균기온:22'],[]
2018/09/11,['평균기온:21'],[]
2018/09/12,['평균기온:22'],[]
2018/09/13,['평균기온:23'],[]
2018/09/14,['평균기온:23'],['일강수량:0.5']
2018/09/15,['평균기온:23'],['일강수량:0.2']
2018/09/16,['평균기온:22'],['일강수량:2.0']
2018/09/17,['평균기온:22'],['일강수량:0.1']
2018/09/18,['평균기온:22'],[]
2018/09/19,['평균기온:22'],['일강수량:0.2']
2018/09/20,['평균기온:19'],['일강수량:5.0']
2018/09/21,['평균기온:19'],['일강수량:18.0']
2018/09/22,['평균기온:20'],['일강수량:6.5']
2018/09/23,['평균기온:19'],['일강수량:0.0']
2018/09/24,['평균기온:17'],[]
2018/09/25,['평균기온:17'],[]
2018/09/26,['평균기온:19'],[]
2018/09/27,['평균기온:18'],[]
2018/09/28,['평균기온:17'],[]
2018/09/29,['평균기온:20'],[]
2018/09/30,['평균기온:17'],[]
2018/10/01,['평균기온:15'],['일강수량:0.0']
2018/10/02,['평균기온:15'],[]
2018/10/03,['평균기온:17'],[]
2018/10/04,['평균기온:19'],[]
2018/10/05,['평균기온:16'],['일강수량:36.5']
2018/10/06,['평균기온:18'],['일강수량:55.5']
2018/10/07,['평균기온:16'],[]
2018/10/08,['평균기온:14'],[]
2018/10/09,['평균기온:15'],['일강수량:0.0']
2018/10/10,['평균기온:12'],['일강수량:7.0']
2018/10/11,['평균기온:9'],[]
2018/10/12,['평균기온:10'],[]
2018/10/13,['평균기온:12'],[]
2018/10/14,['평균기온:13'],[]
2018/10/15,['평균기온:15'],[]
2018/10/16,['평균기온:14'],[]
2018/10/17,['평균기온:12'],[]
2018/10/18,['평균기온:12'],[]
2018/10/19,['평균기온:13'],[]
2018/10/20,['평균기온:13'],[]
2018/10/21,['평균기온:13'],[]
2018/10/22,['평균기온:14'],[]
2018/10/23,['평균기온:12'],['일강수량:5.0']
2018/10/24,['평균기온:12'],[]
2018/10/25,['평균기온:13'],[]
2018/10/26,['평균기온:12'],['일강수량:11.0']
2018/10/27,['평균기온:8'],[]
2018/10/28,['평균기온:8'],['일강수량:5.5']
2018/10/29,['평균기온:7'],['일강수량:0.0']
2018/10/30,['평균기온:6'],['일강수량:0.0']
2018/10/31,['평균기온:7'],['일강수량:0.0']
2018/11/01,['평균기온:8'],[]
2018/11/02,['평균기온:10'],[]
2018/11/03,['평균기온:11'],[]
2018/11/04,['평균기온:11'],[]
2018/11/05,['평균기온:11'],[]
2018/11/06,['평균기온:12'],[]
2018/11/07,['평균기온:12'],['일강수량:2.0']
2018/11/08,['평균기온:11'],['일강수량:64.0']
